Dates,Tesla
05/02/2019,321.35
06/02/2019,317.22
07/02/2019,307.51
08/02/2019,305.8
11/02/2019,312.84
12/02/2019,311.81
13/02/2019,308.17
14/02/2019,303.77
15/02/2019,307.88
19/02/2019,305.64
20/02/2019,302.56
21/02/2019,291.23
22/02/2019,294.71
25/02/2019,298.77
26/02/2019,297.86
27/02/2019,314.74
28/02/2019,319.88
01/03/2019,294.79
04/03/2019,285.36
05/03/2019,280.8
06/03/2019,276.24
07/03/2019,276.59
08/03/2019,284.14
11/03/2019,290.92
12/03/2019,283.36
13/03/2019,288.96
14/03/2019,289.96
15/03/2019,275.43
18/03/2019,269.49
19/03/2019,267.47
20/03/2019,273.6
21/03/2019,274.02
22/03/2019,264.53
25/03/2019,260.42
26/03/2019,267.77
27/03/2019,274.83
28/03/2019,278.62
29/03/2019,279.86
01/04/2019,289.18
02/04/2019,285.88
03/04/2019,291.81
04/04/2019,283.385
05/04/2019,274.96
08/04/2019,273.2
09/04/2019,272.31
10/04/2019,276.06
11/04/2019,268.42
12/04/2019,267.7
15/04/2019,266.38
16/04/2019,273.36
17/04/2019,271.23
18/04/2019,273.26
22/04/2019,262.75
23/04/2019,263.9
24/04/2019,258.66
25/04/2019,247.63
26/04/2019,235.14
29/04/2019,241.47
30/04/2019,238.69
01/05/2019,234.01
02/05/2019,244.1
03/05/2019,255.03
06/05/2019,255.34
07/05/2019,247.06
08/05/2019,244.84
09/05/2019,241.98
10/05/2019,234.495
13/05/2019,227.01
14/05/2019,232.31
15/05/2019,231.95
16/05/2019,228.33
17/05/2019,211.03
20/05/2019,205.36
21/05/2019,205.08
22/05/2019,192.73
23/05/2019,195.49
24/05/2019,190.63
28/05/2019,188.7
29/05/2019,189.86
30/05/2019,188.22
31/05/2019,185.16
03/06/2019,178.97
04/06/2019,193.6
05/06/2019,196.59
06/06/2019,205.95
07/06/2019,204.5
10/06/2019,212.88
11/06/2019,217.1
12/06/2019,209.26
13/06/2019,213.91
14/06/2019,214.92
17/06/2019,225.03
18/06/2019,224.74
19/06/2019,226.43
20/06/2019,219.62
21/06/2019,221.86
24/06/2019,223.64
25/06/2019,219.76
26/06/2019,219.27
27/06/2019,222.84
28/06/2019,223.46
01/07/2019,227.17
02/07/2019,224.55
03/07/2019,234.9
05/07/2019,233.1
08/07/2019,230.34
09/07/2019,230.06
10/07/2019,238.92
11/07/2019,238.6
12/07/2019,245.08
15/07/2019,253.5
16/07/2019,252.38
17/07/2019,254.86
18/07/2019,253.54
19/07/2019,254.61
22/07/2019,255.68
23/07/2019,260.17
24/07/2019,264.88
25/07/2019,228.82
26/07/2019,228.04
29/07/2019,235.77
30/07/2019,242.26
31/07/2019,241.61
01/08/2019,233.85
02/08/2019,234.34
05/08/2019,228.32
06/08/2019,230.75
07/08/2019,233.42
08/08/2019,238.3
09/08/2019,235.01
12/08/2019,229.01
13/08/2019,235
14/08/2019,219.62
15/08/2019,215.64
16/08/2019,219.94
19/08/2019,226.83
20/08/2019,225.86
21/08/2019,220.83
22/08/2019,222.15
23/08/2019,211.4
26/08/2019,215
27/08/2019,214.08
28/08/2019,215.59
29/08/2019,221.71
30/08/2019,225.61
03/09/2019,225.01
04/09/2019,220.68
05/09/2019,229.58
06/09/2019,227.45
09/09/2019,231.79
10/09/2019,235.54
11/09/2019,247.1
12/09/2019,245.87
13/09/2019,245.2
16/09/2019,242.81
17/09/2019,244.79
18/09/2019,243.49
19/09/2019,246.6
20/09/2019,240.62
23/09/2019,241.23
24/09/2019,223.21
25/09/2019,228.7
26/09/2019,242.56
27/09/2019,242.13
30/09/2019,240.87
01/10/2019,242
02/10/2019,243.13
03/10/2019,233.03
04/10/2019,231.43
07/10/2019,237.72
08/10/2019,240.05
09/10/2019,244.53
10/10/2019,244.74
11/10/2019,247.89
14/10/2019,256.96
15/10/2019,257.89
16/10/2019,259.75
17/10/2019,261.97
18/10/2019,256.95
21/10/2019,253.5
22/10/2019,255.58
23/10/2019,254.68
24/10/2019,299.68
25/10/2019,328.13
28/10/2019,327.71
29/10/2019,316.22
30/10/2019,315.01
31/10/2019,314.92
01/11/2019,313.31
04/11/2019,317.47
05/11/2019,317.22
06/11/2019,326.58
07/11/2019,335.54
08/11/2019,337.14
11/11/2019,345.09
12/11/2019,349.93
13/11/2019,346.11
14/11/2019,349.35
15/11/2019,352.17
18/11/2019,349.99
19/11/2019,359.52
20/11/2019,357.175
21/11/2019,354.83
22/11/2019,333.04
25/11/2019,336.34
26/11/2019,328.92
27/11/2019,331.29
29/11/2019,329.94
02/12/2019,334.87
03/12/2019,336.2
04/12/2019,333.03
05/12/2019,330.37
06/12/2019,335.89
09/12/2019,339.53
10/12/2019,348.84
11/12/2019,352.7
12/12/2019,359.68
13/12/2019,358.39
16/12/2019,381.5
17/12/2019,378.99
18/12/2019,393.15
19/12/2019,404.04
20/12/2019,405.59
23/12/2019,419.22
24/12/2019,425.25
26/12/2019,430.94
27/12/2019,430.38
30/12/2019,414.7
31/12/2019,418.33
02/01/2020,430.67
03/01/2020,443.01
06/01/2020,451.54
07/01/2020,469.06
08/01/2020,492.14
09/01/2020,481.34
10/01/2020,503.1
13/01/2020,524.86
14/01/2020,537.92
15/01/2020,518.5
16/01/2020,513.49
17/01/2020,510.5
21/01/2020,547.2
22/01/2020,569.56
23/01/2020,572.2
24/01/2020,564.82
27/01/2020,558.02
28/01/2020,566.9
29/01/2020,580.99
30/01/2020,640.81
31/01/2020,650.57
03/02/2020,780
04/02/2020,887.06
